step,split_counties,split_munis,P1s,P2s,Ds
0,64,284,0.05918121770268947,0.672051271304227,0.5542929292929293
1,64,284,0.05918121770268947,0.672051271304227,0.5542929292929293
2,64,286,0.05918121770268947,0.672051271304227,0.5542929292929293
3,64,286,0.05791859144006317,0.6619502612032171,0.553030303030303
4,64,286,0.05791859144006317,0.6619502612032171,0.553030303030303
5,64,286,0.05791859144006317,0.6619502612032171,0.553030303030303
6,64,286,0.05791859144006317,0.6619502612032171,0.553030303030303
7,64,288,0.05918121770268947,0.6518492511022069,0.5542929292929293
8,64,287,0.05918121770268947,0.6518492511022069,0.5542929292929293
9,64,287,0.05918121770268947,0.6518492511022069,0.5542929292929293
10,64,288,0.05918121770268947,0.6518492511022069,0.5542929292929293
11,64,287,0.05918121770268947,0.6518492511022069,0.5542929292929293
12,64,287,0.05918121770268947,0.6518492511022069,0.5542929292929293
13,64,288,0.05918121770268947,0.6518492511022069,0.5542929292929293
14,64,289,0.05918121770268947,0.6518492511022069,0.5542929292929293
15,64,289,0.05918121770268947,0.6518492511022069,0.5542929292929293
16,64,289,0.05918121770268947,0.6518492511022069,0.5542929292929293
17,64,288,0.05918121770268947,0.6518492511022069,0.5542929292929293
18,64,289,0.05918121770268947,0.6518492511022069,0.5542929292929293
19,64,289,0.05918121770268947,0.6518492511022069,0.5542929292929293
20,64,289,0.05918121770268947,0.6518492511022069,0.5542929292929293
21,64,289,0.05918121770268947,0.6518492511022069,0.5542929292929293
22,64,293,0.05918121770268947,0.6518492511022069,0.5542929292929293
23,64,292,0.05918121770268947,0.6518492511022069,0.5542929292929293
24,64,292,0.05918121770268947,0.6518492511022069,0.5542929292929293
25,64,291,0.05918121770268947,0.6518492511022069,0.5542929292929293
26,64,291,0.05918121770268947,0.6518492511022069,0.5542929292929293
27,64,291,0.0528680863895582,0.6013442005971562,0.547979797979798
28,64,291,0.0528680863895582,0.6013442005971562,0.547979797979798
29,64,291,0.0528680863895582,0.6013442005971562,0.547979797979798
30,64,291,0.0528680863895582,0.6013442005971562,0.547979797979798
31,64,291,0.0528680863895582,0.6013442005971562,0.547979797979798
32,64,291,0.0528680863895582,0.6013442005971562,0.547979797979798
33,64,293,0.0528680863895582,0.6013442005971562,0.547979797979798
34,64,293,0.0528680863895582,0.6013442005971562,0.547979797979798
35,64,294,0.0528680863895582,0.6013442005971562,0.547979797979798
36,64,294,0.0503428338643056,0.581142180395136,0.5454545454545454
37,64,294,0.0503428338643056,0.581142180395136,0.5454545454545454
38,64,294,0.0503428338643056,0.581142180395136,0.5454545454545454
39,64,292,0.0503428338643056,0.581142180395136,0.5454545454545454
40,64,292,0.04781758133905312,0.5407381399910958,0.5429292929292929
41,64,292,0.04781758133905312,0.5407381399910958,0.5429292929292929
42,64,294,0.04781758133905312,0.5407381399910958,0.5429292929292929
43,64,298,0.04781758133905312,0.5407381399910958,0.5429292929292929
44,64,298,0.04781758133905312,0.5407381399910958,0.5429292929292929
45,64,298,0.04781758133905312,0.5407381399910958,0.5429292929292929
46,64,299,0.04781758133905312,0.5407381399910958,0.5429292929292929
47,64,299,0.04781758133905312,0.5407381399910958,0.5429292929292929
48,64,302,0.04781758133905312,0.5407381399910958,0.5429292929292929
49,64,301,0.04781758133905312,0.5407381399910958,0.5429292929292929
50,64,299,0.04781758133905312,0.5407381399910958,0.5429292929292929
51,64,301,0.04781758133905312,0.5407381399910958,0.5429292929292929
52,64,298,0.04781758133905312,0.5407381399910958,0.5429292929292929
53,64,299,0.04781758133905312,0.5407381399910958,0.5429292929292929
54,64,299,0.04781758133905312,0.5407381399910958,0.5429292929292929
55,64,299,0.04781758133905312,0.5407381399910958,0.5429292929292929
