step,split_counties,split_munis,P1s,P2s,Ds
0,64,284,0.05918121770268947,0.672051271304227,0.5542929292929293
1,64,283,0.05918121770268947,0.672051271304227,0.5542929292929293
2,64,283,0.05918121770268947,0.672051271304227,0.5542929292929293
3,64,283,0.05918121770268947,0.672051271304227,0.5542929292929293
4,64,282,0.05918121770268947,0.672051271304227,0.5542929292929293
5,64,282,0.05918121770268947,0.672051271304227,0.5542929292929293
6,64,281,0.05918121770268947,0.672051271304227,0.5542929292929293
7,64,281,0.05918121770268947,0.672051271304227,0.5542929292929293
8,64,280,0.05918121770268947,0.672051271304227,0.5542929292929293
9,64,280,0.05918121770268947,0.672051271304227,0.5542929292929293
10,64,277,0.05791859144006317,0.6821522814052372,0.553030303030303
11,64,276,0.05791859144006317,0.6821522814052372,0.553030303030303
12,64,276,0.05791859144006317,0.6821522814052372,0.553030303030303
13,64,276,0.05791859144006317,0.6821522814052372,0.553030303030303
14,64,274,0.05791859144006317,0.6821522814052372,0.553030303030303
15,63,273,0.05791859144006317,0.6821522814052372,0.553030303030303
16,63,273,0.05791859144006317,0.6821522814052372,0.553030303030303
17,63,273,0.05791859144006317,0.6821522814052372,0.553030303030303
18,63,273,0.05791859144006317,0.6821522814052372,0.553030303030303
19,63,273,0.05791859144006317,0.6821522814052372,0.553030303030303
20,63,273,0.056655965177436984,0.6720512713042271,0.5517676767676768
21,63,272,0.056655965177436984,0.6720512713042271,0.5517676767676768
22,63,271,0.056655965177436984,0.6720512713042271,0.5517676767676768
23,63,269,0.056655965177436984,0.6720512713042271,0.5517676767676768
24,63,269,0.056655965177436984,0.6720512713042271,0.5517676767676768
25,63,268,0.056655965177436984,0.6720512713042271,0.5517676767676768
26,63,268,0.056655965177436984,0.6720512713042271,0.5517676767676768
27,63,268,0.056655965177436984,0.6720512713042271,0.5517676767676768
28,63,268,0.056655965177436984,0.6720512713042271,0.5517676767676768
29,63,267,0.056655965177436984,0.6720512713042271,0.5517676767676768
30,63,267,0.056655965177436984,0.6720512713042271,0.5517676767676768
31,63,265,0.055393338914810686,0.6821522814052372,0.5505050505050505
32,63,264,0.055393338914810686,0.6821522814052372,0.5505050505050505
33,63,263,0.055393338914810686,0.6821522814052372,0.5505050505050505
34,63,261,0.055393338914810686,0.6821522814052372,0.5505050505050505
35,63,262,0.055393338914810686,0.6821522814052372,0.5505050505050505
36,63,261,0.055393338914810686,0.6821522814052372,0.5505050505050505
37,63,258,0.055393338914810686,0.6821522814052372,0.5505050505050505
38,63,256,0.055393338914810686,0.6821522814052372,0.5505050505050505
39,63,257,0.055393338914810686,0.6821522814052372,0.5505050505050505
40,63,255,0.0528680863895582,0.7023543016072575,0.547979797979798
41,63,254,0.0528680863895582,0.7023543016072575,0.547979797979798
42,63,252,0.0516054601269319,0.7124553117082675,0.5467171717171717
43,63,250,0.0516054601269319,0.7124553117082675,0.5467171717171717
44,62,248,0.0516054601269319,0.7124553117082675,0.5467171717171717
45,62,248,0.0516054601269319,0.7124553117082675,0.5467171717171717
46,62,248,0.0516054601269319,0.7124553117082675,0.5467171717171717
47,62,247,0.0516054601269319,0.7124553117082675,0.5467171717171717
48,62,247,0.0516054601269319,0.7124553117082675,0.5467171717171717
49,62,247,0.0516054601269319,0.7124553117082675,0.5467171717171717
50,62,247,0.0516054601269319,0.7730613723143281,0.5467171717171717
51,62,246,0.0516054601269319,0.7730613723143281,0.5467171717171717
52,62,246,0.0516054601269319,0.7730613723143281,0.5467171717171717
53,62,246,0.0516054601269319,0.7730613723143281,0.5467171717171717
54,62,246,0.0516054601269319,0.7730613723143281,0.5467171717171717
55,62,246,0.0516054601269319,0.7730613723143281,0.5467171717171717
56,62,246,0.0516054601269319,0.7730613723143281,0.5467171717171717
57,62,246,0.0516054601269319,0.7730613723143281,0.5467171717171717
58,62,245,0.0516054601269319,0.7730613723143281,0.5467171717171717
59,61,244,0.0516054601269319,0.7730613723143281,0.5467171717171717
60,61,244,0.0516054601269319,0.7730613723143281,0.5467171717171717
61,61,244,0.0516054601269319,0.7730613723143281,0.5467171717171717
62,61,242,0.0516054601269319,0.7730613723143281,0.5467171717171717
63,61,241,0.0503428338643056,0.762960362213318,0.5454545454545454
