step,split_counties,split_munis,P1s,P2s
0,31,82,0.03613828840976019,0.8033644026173582
1,29,70,0.03613828840976019,0.8033644026173582
2,29,64,0.03613828840976019,0.8033644026173582
3,25,61,0.03613828840976019,0.6617356526629787
4,25,61,0.03613828840976019,0.6617356526629787
5,23,53,0.03613828840976019,0.6617356526629787
6,23,53,0.03613828840976019,0.6617356526629787
7,23,53,0.03613828840976019,0.6617356526629787
8,18,43,0.03613828840976019,0.6617356526629787
9,18,43,0.03613828840976019,0.6617356526629787
10,15,35,0.03613828840976019,0.6617356526629787
11,14,30,0.03613828840976019,0.6617356526629787
12,14,27,0.03613828840976019,0.6617356526629787
13,13,16,0.03613828840976019,0.6617356526629787
14,12,18,0.03613828840976019,0.6617356526629787
15,12,16,0.03613828840976019,0.6617356526629787
16,13,16,0.03613828840976019,0.6617356526629787
17,13,16,0.03613828840976019,0.6617356526629787
18,13,16,0.03613828840976019,0.6617356526629787
19,13,16,0.03613828840976019,0.6617356526629787
20,13,16,0.03613828840976019,0.6617356526629787
21,13,16,0.03613828840976019,0.6617356526629787
22,13,15,0.03613828840976019,0.6617356526629787
23,13,15,0.03613828840976019,0.6617356526629787
24,13,16,0.03613828840976019,0.6617356526629787
25,14,15,0.03613828840976019,0.6617356526629787
26,14,16,0.03613828840976019,0.6617356526629787
27,14,16,0.03613828840976019,0.6617356526629787
28,14,16,0.03613828840976019,0.6617356526629787
29,14,16,0.03613828840976019,0.6617356526629787
30,14,16,0.03613828840976019,0.6617356526629787
31,14,17,0.03613828840976019,0.6617356526629787
32,14,17,0.03613828840976019,0.6617356526629787
33,14,17,0.03613828840976019,0.6617356526629787
34,14,17,0.03613828840976019,0.6617356526629787
35,14,17,0.03613828840976019,0.6617356526629787
36,13,19,0.03613828840976019,0.6617356526629787
37,13,19,0.03613828840976019,0.6617356526629787
38,12,18,0.03613828840976019,0.6617356526629787
39,13,18,0.03613828840976019,0.6617356526629787
40,13,18,0.03613828840976019,0.6617356526629787
41,13,18,0.03613828840976019,0.6617356526629787
42,13,18,0.03613828840976019,0.6617356526629787
43,13,18,0.03613828840976019,0.6617356526629787
44,13,19,0.03613828840976019,0.6617356526629787
45,13,19,0.03613828840976019,0.6617356526629787
46,13,19,0.03613828840976019,0.6617356526629787
47,12,21,0.03613828840976019,0.6617356526629787
48,12,20,0.03613828840976019,0.6617356526629787
49,13,19,0.03613828840976019,0.6617356526629787
50,13,19,0.03613828840976019,0.6617356526629787
51,13,19,0.03613828840976019,0.6617356526629787
52,12,18,0.03613828840976019,0.6617356526629787
53,12,18,0.03613828840976019,0.6617356526629787
54,12,16,0.03613828840976019,0.6617356526629787
55,12,17,0.03613828840976019,0.6617356526629787
56,12,16,0.03613828840976019,0.6617356526629787
57,11,19,0.03613828840976019,0.6617356526629787
58,11,19,0.03613828840976019,0.6617356526629787
59,11,19,0.03613828840976019,0.6617356526629787
60,11,17,0.03613828840976019,0.6617356526629787
61,11,18,0.03613828840976019,0.6617356526629787
62,11,18,0.03613828840976019,0.6617356526629787
63,11,18,0.03613828840976019,0.6617356526629787
64,11,18,0.03613828840976019,0.6617356526629787
65,11,19,0.03613828840976019,0.6617356526629787
66,11,19,0.03613828840976019,0.6617356526629787
67,11,19,0.03613828840976019,0.6617356526629787
68,11,18,0.03613828840976019,0.6617356526629787
69,11,18,0.03613828840976019,0.6617356526629787
70,11,17,0.03613828840976019,0.6617356526629787
71,12,19,0.03613828840976019,0.6617356526629787
72,12,19,0.03613828840976019,0.6617356526629787
73,12,19,0.03613828840976019,0.6617356526629787
74,12,19,0.03613828840976019,0.6617356526629787
75,12,19,0.03613828840976019,0.6617356526629787
76,13,19,0.03613828840976019,0.6617356526629787
77,13,19,0.03613828840976019,0.6617356526629787
78,13,19,0.03613828840976019,0.6617356526629787
79,14,20,0.03613828840976019,0.6617356526629787
80,14,20,0.03613828840976019,0.6617356526629787
81,14,20,0.03613828840976019,0.6617356526629787
82,14,21,0.03613828840976019,0.6617356526629787
83,15,19,0.03613828840976019,0.6617356526629787
84,15,19,0.03613828840976019,0.6617356526629787
85,13,19,0.03613828840976019,0.6617356526629787
86,13,19,0.03613828840976019,0.6617356526629787
87,13,19,0.03613828840976019,0.6617356526629787
88,13,14,0.03613828840976019,0.6617356526629787
89,13,14,0.03613828840976019,0.6617356526629787
90,13,14,0.03613828840976019,0.6617356526629787
91,13,14,0.03613828840976019,0.6617356526629787
92,13,15,0.03613828840976019,0.6617356526629787
93,13,15,0.03613828840976019,0.6617356526629787
94,13,15,0.03613828840976019,0.6617356526629787
95,13,15,0.03613828840976019,0.6617356526629787
96,13,16,0.03613828840976019,0.6617356526629787
97,13,15,0.03613828840976019,0.6617356526629787
98,11,13,0.1455132884097602,1.164106307278082
99,11,12,0.1455132884097602,1.164106307278082
