step,split_counties,split_munis,P1s,P2s
0,54,193,0.05791859144006317,1.045788645041601
1,54,185,0.05791859144006317,1.045788645041601
2,54,176,0.05791859144006317,1.045788645041601
3,53,173,0.05791859144006317,1.045788645041601
4,53,173,0.05791859144006317,1.045788645041601
5,53,173,0.05791859144006317,1.045788645041601
6,51,172,0.05791859144006317,1.045788645041601
7,51,171,0.05791859144006317,1.045788645041601
8,51,168,0.05791859144006317,1.045788645041601
9,50,166,0.05791859144006317,1.045788645041601
10,50,165,0.061706470227941956,1.0154856147385707
11,50,162,0.061706470227941956,1.0154856147385707
12,50,160,0.061706470227941956,1.0154856147385707
13,50,155,0.06549434901582074,0.9851825844355403
14,50,151,0.06549434901582074,0.9851825844355403
15,50,149,0.08064586416733599,0.9851825844355402
16,50,149,0.08064586416733599,0.9851825844355402
17,50,146,0.08064586416733599,0.9851825844355402
18,46,139,0.08064586416733599,0.9851825844355402
19,46,138,0.08064586416733599,0.9851825844355402
20,46,138,0.08064586416733599,0.9851825844355402
21,46,138,0.08064586416733599,0.9851825844355402
22,46,137,0.08064586416733599,0.9851825844355402
23,46,137,0.08064586416733599,0.9851825844355402
24,46,136,0.08064586416733599,0.9851825844355402
25,45,137,0.08064586416733599,0.9851825844355402
26,45,134,0.08064586416733599,0.9851825844355402
27,45,130,0.08064586416733599,0.9851825844355402
28,46,127,0.08064586416733599,0.9851825844355402
29,46,123,0.08064586416733599,0.9851825844355402
30,46,123,0.08064586416733599,0.9851825844355402
31,46,120,0.08064586416733599,0.9851825844355402
32,46,120,0.08064586416733599,0.9851825844355402
33,46,116,0.08064586416733599,0.9851825844355402
34,46,116,0.08064586416733599,0.9851825844355402
35,46,115,0.08064586416733599,0.9851825844355402
36,46,115,0.08064586416733599,0.9851825844355402
37,46,115,0.08064586416733599,0.9851825844355402
38,46,115,0.08064586416733599,0.9851825844355402
39,46,115,0.08064586416733599,0.9851825844355402
40,46,114,0.08064586416733599,0.9851825844355402
41,46,109,0.08064586416733599,0.9851825844355402
42,46,107,0.08064586416733599,0.9851825844355402
43,46,106,0.08064586416733599,0.9851825844355402
44,46,98,0.08064586416733599,0.9851825844355402
45,45,97,0.08064586416733599,0.9851825844355402
46,45,97,0.08064586416733599,0.9851825844355402
47,45,97,0.08064586416733599,0.9851825844355402
48,45,97,0.08064586416733599,0.9851825844355402
49,45,97,0.08064586416733599,0.9851825844355402
50,45,97,0.08064586416733599,0.9851825844355402
51,45,96,0.08064586416733599,0.9851825844355402
52,45,96,0.0768579853794572,0.9548795541325099
53,45,96,0.0768579853794572,0.9548795541325099
54,45,95,0.0768579853794572,0.9548795541325099
55,42,95,0.0768579853794572,0.9548795541325099
56,42,95,0.0768579853794572,0.9548795541325099
57,42,90,0.0768579853794572,0.9548795541325099
58,42,90,0.0768579853794572,0.9548795541325099
59,42,91,0.0768579853794572,0.9548795541325099
60,42,90,0.0768579853794572,0.9548795541325099
61,42,90,0.0768579853794572,0.9548795541325099
62,42,90,0.0768579853794572,0.9548795541325099
63,42,90,0.0768579853794572,0.9548795541325099
64,42,88,0.0768579853794572,0.9548795541325099
65,42,88,0.0768579853794572,0.9548795541325099
66,42,88,0.0768579853794572,0.9548795541325099
67,43,87,0.07307010659157842,0.9245765238294796
68,43,87,0.07307010659157842,0.9245765238294796
69,43,87,0.07307010659157842,0.9245765238294796
70,42,83,0.07307010659157842,0.9245765238294796
71,42,83,0.06928222780369964,0.8942734935264494
72,41,82,0.06928222780369964,0.8942734935264494
73,40,81,0.06928222780369964,0.8942734935264494
74,39,78,0.06928222780369964,0.8942734935264494
75,38,78,0.06928222780369964,0.8942734935264494
76,39,79,0.06928222780369964,0.8942734935264494
77,39,78,0.06928222780369964,0.8942734935264494
78,39,74,0.06928222780369964,0.8942734935264494
79,39,74,0.06928222780369964,0.8942734935264494
80,39,74,0.06928222780369964,0.8942734935264494
81,39,74,0.06928222780369964,0.8942734935264494
82,39,74,0.06928222780369964,0.8942734935264494
83,39,74,0.06928222780369964,0.8942734935264494
84,39,74,0.06928222780369964,0.8942734935264494
85,38,75,0.06928222780369964,0.8942734935264492
86,38,75,0.06928222780369964,0.8942734935264492
87,38,74,0.06928222780369964,0.8942734935264492
88,38,74,0.06928222780369964,0.8942734935264492
89,38,74,0.06928222780369964,0.8942734935264492
90,38,74,0.06928222780369964,0.8942734935264492
91,38,74,0.06928222780369964,0.8942734935264492
92,38,74,0.06928222780369964,0.8942734935264492
93,38,74,0.06928222780369964,0.8942734935264492
94,38,73,0.06928222780369964,0.8942734935264492
95,38,73,0.06928222780369964,0.8942734935264492
96,38,73,0.06928222780369964,0.8942734935264492
97,38,73,0.06928222780369964,0.8942734935264492
98,38,72,0.06928222780369964,0.8942734935264492
99,38,72,0.06928222780369964,0.8942734935264492
